lab,full_name,group,N,pvalue,OR,effect_estimate,std_error,prs_r2,Bonferroni,FDR
Creat,Creatinine [Mass/volume] in Blood Creatinine [Mass/volume] in Blood,kidney,68401,2.23E-308,1.175254642,0.16148484,0.004120251,0.025379685,TRUE,TRUE
HDL.C,Cholesterol in HDL [Mass/volume] in Serum or Plasma,metabolic,32623,2.23E-308,0.818238802,-0.200601051,0.005097756,0.045396768,TRUE,TRUE
BUN,Urea nitrogen serum/plasma,metabolic,67844,2.23E-308,1.179555454,0.165137634,0.004293889,0.022960977,TRUE,TRUE
LDL.C,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,metabolic,31445,2.23E-308,0.809243444,-0.211655488,0.005475089,0.049046636,TRUE,TRUE
Chol,Cholesterol [Mass/volume] in Serum or Plasma,metabolic,33582,2.23E-308,0.818602773,-0.200156328,0.005211653,0.043206325,TRUE,TRUE
PCV,Hematocrit [Volume Fraction] of Blood by Automated count,blood,71591,1.60E-240,0.874798999,-0.133761134,0.004021619,0.018801059,TRUE,TRUE
Gluc,Glucose lab,metabolic,67786,1.79E-193,1.127294975,0.119820935,0.004023557,0.012991224,TRUE,TRUE
PT.inr,INR,blood,37933,1.62E-188,1.165865433,0.153463672,0.005205572,0.01981229,TRUE,TRUE
TRPI,Troponin I.cardiac [Mass/volume] in Serum or Plasma,cardiovascular,11525,1.20E-187,1.222022048,0.200506903,0.006703043,0.047991119,TRUE,TRUE
Ca,Calcium serum/plasma serum/plasma,metabolic,67561,4.28E-173,0.898349542,-0.107196042,0.003809468,0.011848297,TRUE,TRUE
CO2,Carbon dioxide serum/plasma,blood,67740,1.41E-123,0.914389701,-0.089498429,0.003776733,0.008269917,TRUE,TRUE
MBRat,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,cardiovascular,14463,1.31E-121,1.196635293,0.179513696,0.007563933,0.040027022,TRUE,TRUE
RDW,Erythrocyte distribution width [Ratio] by Automated count Erythrocyte distribution width [Ratio] by Automated count,blood,70497,1.02E-112,1.099995606,0.095306185,0.004215656,0.006899445,TRUE,TRUE
BNP,Natriuretic peptide B [Mass/volume] in Serum or Plasma,cardiovascular,12602,1.86E-112,1.196365991,0.179288621,0.007853017,0.040955733,TRUE,TRUE
WBC,Leukocytes [#/volume] in Blood by Automated count,immune,70459,1.92E-102,1.087567284,0.083943352,0.003898957,0.007155054,TRUE,TRUE
CKMBRe,Creatine kinase.MB [Mass/volume] in Serum or Plasma,cardiovascular,14703,2.24E-93,1.1637874,0.151679686,0.007333479,0.034603522,TRUE,TRUE
RDWSD,Erythrocyte distribution width [Entitic volume] by Automated count,blood,62887,4.05E-74,1.081846434,0.078669242,0.004312959,0.007926959,TRUE,TRUE
LDL_premed,LDL pre-medication,metabolic,24081,2.12E-72,0.875642193,-0.132797727,0.007351464,0.017231271,TRUE,TRUE
HgbA1C,Hemoglobin A1c (Glycated) Hemoglobin A1c (Glycated),metabolic,23786,6.98E-67,1.112549008,0.106653787,0.006150194,0.017848989,TRUE,TRUE
Trigs,Triglyceride [Mass/volume] in Serum or Plasma,metabolic,33798,3.76E-62,1.095965499,0.091635709,0.005495001,0.011842442,TRUE,TRUE
QRS.DURATION,QRS duration,cardiovascular,7689,1.88E-53,1.189064924,0.17316722,0.01114183,0.040134155,TRUE,TRUE
NtAbs,NtAbs,immune,27727,6.95E-52,1.089149609,0.085397217,0.005621453,0.009065043,TRUE,TRUE
CRP,C reactive protein [Mass/volume] in Serum or Plasma,immune,21974,4.97E-50,1.125472074,0.118202569,0.007924886,0.011488151,TRUE,TRUE
GluBed,Glucose [Mass/volume] in Blood by Automated test strip,metabolic,27530,3.98E-49,1.088536299,0.084833949,0.005744632,0.010034505,TRUE,TRUE
UricA,Urate [Mass/volume] in Serum or Plasma,urinary,10848,1.27E-48,1.143830065,0.134382337,0.009117193,0.024799657,TRUE,TRUE
QTCF,Q-T interval corrected based on Fridericia formula,cardiovascular,7690,5.45E-48,1.178602634,0.164329529,0.011192357,0.029634152,TRUE,TRUE
UpH,pH of Urine by Test strip,urinary,44595,1.84E-47,0.935864823,-0.066284232,0.004574173,0.004376363,TRUE,TRUE
SedRat,Erythrocyte sedimentation rate by Westergren method,blood,11661,1.79E-46,1.165595734,0.153232316,0.010651712,0.018791376,TRUE,TRUE
Iron,Iron [Mass/volume] in Serum or Plasma,blood,16911,1.89E-44,0.895967836,-0.109850764,0.007827901,0.011691111,TRUE,TRUE
PatLoc,PatLoc,other,6124,4.04E-43,1.191424096,0.175149311,0.012601234,0.02973676,TRUE,TRUE
MCH,MCH [Entitic mass] by Automated count,blood,70492,8.43E-37,0.951052919,-0.050185572,0.003957756,0.003350601,TRUE,TRUE
Nt.PTH,Parathyrin.intact [Mass/volume] in Serum or Plasma,endocrine,7373,4.13E-36,1.155653064,0.144665607,0.011456289,0.026170785,TRUE,TRUE
QTCB,Q-T interval corrected based on Bazett formula,cardiovascular,7686,1.41E-35,1.153214875,0.142553586,0.011377585,0.020404477,TRUE,TRUE
O2SatV,Oxygen saturation Calculated from oxygen partial pressure in Venous blood,blood,8193,6.11E-34,0.869757968,-0.139540304,0.011424601,0.022985006,TRUE,TRUE
LYMPRE,Lymphocytes/100 leukocytes in Blood by Automated count,immune,50753,6.17E-32,0.948412573,-0.052965668,0.004499849,0.001622246,TRUE,TRUE
QT.INTERVAL,Q-T interval,cardiovascular,7691,6.47E-30,1.130232434,0.122423305,0.010717552,0.02116188,TRUE,TRUE
NEUTRE,Neutrophils/100 leukocytes in Blood by Automated count,immune,50854,3.14E-29,1.051440259,0.050160899,0.004466343,0.001932405,TRUE,TRUE
Phos,Phosphate,metabolic,18843,3.86E-29,1.075752079,0.073020025,0.006503865,0.006153851,TRUE,TRUE
X_percent_SAT,%SAT,blood,13869,1.72E-28,0.910090576,-0.09421115,0.00848697,0.008372106,TRUE,TRUE
D25OHT,Calcitriol [Mass/volume] in Serum or Plasma,metabolic,20271,1.15E-27,0.919797702,-0.083601522,0.00765676,0.006357797,TRUE,TRUE
CaIo,Calcium.ionized [Mass/volume] in Blood,metabolic,17684,5.86E-27,1.078080108,0.075181781,0.006979013,0.004573755,TRUE,TRUE
EoAbs,EoAbs,immune,27204,7.73E-26,1.063689403,0.061743434,0.005867688,0.005157754,TRUE,TRUE
WBCrt,Creatinine [Mass/volume] in Blood,blood,7572,9.27E-26,1.115186127,0.109021321,0.010342978,0.018803391,TRUE,TRUE
MonAbs,MonAbs,immune,27739,9.10E-25,1.056563596,0.055021751,0.005348894,0.00884392,TRUE,TRUE
WBTrpI,Troponin I.cardiac [Mass/volume] in Blood,cardiovascular,2066,1.14E-23,1.245573568,0.219596121,0.02156232,0.052948723,TRUE,TRUE
SUA_C,SUA_C,other,4304,4.05E-23,1.140881132,0.131800887,0.013219436,0.036759893,TRUE,TRUE
AlbCnc,Albumin [Presence] in Urine,urinary,5860,4.16E-23,1.128346016,0.120752858,0.012136221,0.022765364,TRUE,TRUE
MCHC,MCHC [Mass/volume] by Automated count,blood,59194,3.72E-22,0.959891216,-0.040935317,0.004227611,0.001458255,TRUE,TRUE
Vanco1,Vancomycin [Mass/volume] in Serum or Plasma,toxicology/pharmacology,7996,1.39E-21,1.108371356,0.102891691,0.010743845,0.014402269,TRUE,TRUE
T.WAVE.AXIS,T wave axis,cardiovascular,7683,1.60E-21,1.118288184,0.111799109,0.011689555,0.014079045,TRUE,TRUE
IGRE,Immature granulocytes/100 leukocytes in Blood,immune,48987,9.36E-21,1.047402851,0.046313625,0.004954472,0.003225218,TRUE,TRUE
GluWB,Glucose [Mass/volume] in Blood,blood,14985,5.10E-20,1.072615951,0.070100478,0.007638134,0.007911061,TRUE,TRUE
NEUTM,Polymorphonuclear cells/100 leukocytes in Body fluid by Manual count,immune,11241,1.25E-19,1.088214855,0.084538606,0.009306137,0.006003098,TRUE,TRUE
EOSIAB,Eosinophils [#/volume] in Blood by Automated count,immune,32862,2.09E-18,1.051562993,0.050277623,0.005740743,0.002980232,TRUE,TRUE
FRONTAL.AXIS.ST,ST segment axis.horizontal plane,cardiovascular,7679,5.52E-18,1.106064203,0.100807951,0.011628692,0.010920781,TRUE,TRUE
BASORE,Basophils/100 leukocytes in Blood by Automated count,immune,50776,1.21E-16,0.959716107,-0.04111776,0.004962685,0.001000764,TRUE,TRUE
UrPro,Protein [Mass/volume] in Urine by Test strip,urinary,19401,7.93E-16,1.058707506,0.05704883,0.007074996,0.003666789,TRUE,TRUE
CPK,CPK,cardiovascular,18517,8.33E-16,1.040295463,0.039504772,0.004902562,0.026555411,TRUE,TRUE
NonHDL,Cholesterol non HDL [Mass/volume] in Serum or Plasma,metabolic,3634,8.33E-16,0.887067667,-0.119834012,0.014809042,0.017128423,TRUE,TRUE
MCV,MCV [Entitic volume] by Automated count,blood,70465,1.00E-15,0.968776753,-0.031721082,0.003951106,0.003625547,TRUE,TRUE
CrePOC,CrePOC,kidney,6762,2.97E-15,1.082605758,0.079370874,0.010028375,0.014142134,TRUE,TRUE
F8Act,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,blood,976,3.70E-15,1.368371601,0.313621421,0.039109468,0.080570438,TRUE,TRUE
EOSIA,Eosinophils [#/volume] in Blood by Automated count,immune,33237,3.78E-15,1.045229002,0.044236002,0.005623559,0.000876171,TRUE,TRUE
Neut,Neutrophils [#/volume] in Blood,immune,29112,3.81E-15,1.04373732,0.042807848,0.005442249,0.001536791,TRUE,TRUE
DirLDL,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,metabolic,5426,7.40E-15,0.912728339,-0.091316991,0.011701972,0.012104033,TRUE,TRUE
GPAR,Clot strength in Blood by Thromboelastography,blood,774,8.08E-15,1.321633603,0.278868549,0.034894352,0.116676291,TRUE,TRUE
PSA,PSA serum/plasma,cancer,8525,1.28E-14,0.939852873,-0.062031934,0.008031048,0.012643964,TRUE,TRUE
RETHE,Hemoglobin [Entitic mass] in Reticulocytes,blood,4981,3.13E-14,0.898487013,-0.107043027,0.014047812,0.013111664,TRUE,TRUE
MXAMP,Maximum clot firmness [Length] in Blood by Thromboelastography,other,778,5.77E-14,1.312069962,0.271606014,0.035201778,0.112194219,TRUE,TRUE
TProSe,Protein serum/plasma,metabolic,35235,7.05E-14,0.960891698,-0.039893573,0.00532598,0.000704098,TRUE,TRUE
MPV,Platelet mean volume [Entitic volume] in Blood by Automated count Platelet mean volume [Entitic volume] in Blood by Automated count,blood,50952,9.53E-14,1.038773297,0.038040494,0.005106383,0.00124914,TRUE,TRUE
RisCof,von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Platelet aggregation,immune,660,2.54E-13,1.471167138,0.386056058,0.051498438,0.080328353,TRUE,TRUE
AlbCre,Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine,liver,3272,2.62E-13,1.132172839,0.124138653,0.0168918,0.02386954,TRUE,TRUE
Lym,Lymphocytes [#/volume] in Blood,immune,28875,5.98E-13,0.961557916,-0.039200481,0.005440947,0.000575878,TRUE,TRUE
TropnT,Troponin T.cardiac [Mass/volume] in Serum or Plasma,cardiovascular,1471,9.31E-13,1.181702985,0.166956606,0.023133258,0.036338334,TRUE,TRUE
Cort.S,Cortisol [Mass/volume] in Serum or Plasma,endocrine,6966,1.15E-12,1.085239441,0.081800645,0.011477285,0.013394285,TRUE,TRUE
X25HyD3,Calcidiol [Mass/volume] in Serum or Plasma,metabolic,10604,5.18E-12,0.929246079,-0.073381689,0.010620323,0.004702728,TRUE,TRUE
T.HORIZONTAL.AXIS,T wave axis.horizontal plane Reference beat,cardiovascular,7574,8.20E-12,1.083766415,0.080442396,0.01174582,0.010252229,TRUE,TRUE
IRF,Immature reticulocytes/Reticulocytes.total in Blood,blood,6066,9.03E-12,1.080328221,0.077264903,0.011300904,0.020466231,TRUE,TRUE
RetiCt,Reticulocytes/100 erythrocytes in Blood by Automated count,blood,7736,1.45E-11,1.06695809,0.064811693,0.009580672,0.018818716,TRUE,TRUE
TProt,Tau protein [Presence] in Body fluid,blood,48403,8.77E-11,0.971371877,-0.029045901,0.004476571,6.82E-05,TRUE,TRUE
MetHgb,Methemoglobin/Hemoglobin.total in Venous blood,blood,7080,1.83E-10,0.924529661,-0.078470145,0.012286383,0.010400882,TRUE,TRUE
IctIdx,Icteric index of Serum or Plasma,metabolic,4972,2.47E-10,0.925313953,-0.07762219,0.012235627,0.000540291,TRUE,TRUE
C.Gluc,Glucose [Mass/volume] in Cerebral spinal fluid,immune,3047,6.82E-10,1.157985445,0.14668181,0.023684506,0.016219372,TRUE,TRUE
CD3.,CD3#,immune,1667,1.49E-09,0.846580187,-0.166550354,0.027365943,0.012573764,TRUE,TRUE
